dataset,model,method,variant,source,seed_a,seed_b,top3,top5,spearman,cosine,sign5
adult,logreg,lime,clean,permuted,2,4,0.3333333333333333,0.2,-0.1912087912087912,0.5470656898516181,1.0
adult,logreg,lime,clean,permuted,3,4,0.0,0.4,-0.12967032967032965,0.3829345622098437,1.0
adult,logreg,lime,clean,constant,0,1,1.0,1.0,0.0,1.0,1.0
adult,logreg,lime,clean,constant,0,2,1.0,1.0,0.0,1.0,1.0
adult,logreg,lime,clean,constant,0,3,1.0,1.0,0.0,1.0,1.0
adult,logreg,lime,clean,constant,0,4,1.0,1.0,0.0,1.0,1.0
adult,logreg,lime,clean,constant,1,2,1.0,1.0,0.0,1.0,1.0
adult,logreg,lime,clean,constant,1,3,1.0,1.0,0.0,1.0,1.0
adult,logreg,lime,clean,constant,1,4,1.0,1.0,0.0,1.0,1.0
adult,logreg,lime,clean,constant,2,3,1.0,1.0,0.0,1.0,1.0
adult,logreg,lime,clean,constant,2,4,1.0,1.0,0.0,1.0,1.0
adult,logreg,lime,clean,constant,3,4,1.0,1.0,0.0,1.0,1.0
adult,logreg,lime,clean,oracle,0,1,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,lime,clean,oracle,0,2,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,lime,clean,oracle,0,3,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,lime,clean,oracle,0,4,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,lime,clean,oracle,1,2,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,lime,clean,oracle,1,3,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,lime,clean,oracle,1,4,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,lime,clean,oracle,2,3,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,lime,clean,oracle,2,4,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,lime,clean,oracle,3,4,1.0,1.0,1.0,0.9999999999999998,1.0
adult,logreg,lime,spur,real,0,1,1.0,0.8,0.95,0.9787915263646644,1.0
adult,logreg,lime,spur,real,0,2,1.0,0.8,0.9607142857142855,0.9934019794619738,1.0
adult,logreg,lime,spur,real,0,3,1.0,1.0,0.9749999999999999,0.9850567226607839,1.0
adult,logreg,lime,spur,real,0,4,1.0,0.8,0.914285714285714,0.9835306145458618,1.0
adult,logreg,lime,spur,real,1,2,1.0,0.8,0.9857142857142854,0.9817660100427109,1.0
adult,logreg,lime,spur,real,1,3,1.0,0.8,0.9857142857142854,0.993973237049995,1.0
adult,logreg,lime,spur,real,1,4,1.0,0.6,0.9357142857142854,0.9612918379470058,1.0
adult,logreg,lime,spur,real,2,3,1.0,0.8,0.9785714285714284,0.981517016314877,1.0
adult,logreg,lime,spur,real,2,4,1.0,0.8,0.932142857142857,0.9856665574237656,1.0
adult,logreg,lime,spur,real,3,4,1.0,0.8,0.9428571428571427,0.9662567963058462,1.0
adult,logreg,lime,spur,random,0,1,0.3333333333333333,0.6,0.16785714285714282,0.8285532089484786,1.0
adult,logreg,lime,spur,random,0,2,0.0,0.2,-0.2928571428571428,0.6810294016903741,1.0
adult,logreg,lime,spur,random,0,3,0.3333333333333333,0.2,-0.09285714285714285,0.7720498198746061,1.0
adult,logreg,lime,spur,random,0,4,0.0,0.4,-0.04642857142857142,0.6249916888418299,1.0
adult,logreg,lime,spur,random,1,2,0.3333333333333333,0.2,-0.03214285714285714,0.7663594964876345,1.0
adult,logreg,lime,spur,random,1,3,0.0,0.0,-0.6964285714285713,0.6024425175038444,1.0
adult,logreg,lime,spur,random,1,4,0.0,0.2,-0.3142857142857143,0.5261765771794589,1.0
adult,logreg,lime,spur,random,2,3,0.0,0.2,-0.3142857142857143,0.7087379562194746,1.0
adult,logreg,lime,spur,random,2,4,0.6666666666666666,0.6,0.3714285714285714,0.760381266981697,1.0
adult,logreg,lime,spur,random,3,4,0.3333333333333333,0.6,0.2642857142857143,0.7874411099969402,1.0
adult,logreg,lime,spur,permuted,0,1,0.3333333333333333,0.4,0.3,0.5701216808242615,1.0
adult,logreg,lime,spur,permuted,0,2,0.0,0.2,-0.049999999999999996,0.4938300969287994,1.0
adult,logreg,lime,spur,permuted,0,3,0.3333333333333333,0.6,0.3607142857142856,0.6439738496630083,1.0
adult,logreg,lime,spur,permuted,0,4,0.3333333333333333,0.2,0.0,0.5793347250099254,1.0
adult,logreg,lime,spur,permuted,1,2,0.3333333333333333,0.6,0.4535714285714285,0.765748396472362,1.0
adult,logreg,lime,spur,permuted,1,3,0.0,0.4,0.22499999999999998,0.44496145821550015,1.0
adult,logreg,lime,spur,permuted,1,4,0.3333333333333333,0.2,0.30357142857142855,0.5673749006677867,1.0
adult,logreg,lime,spur,permuted,2,3,0.3333333333333333,0.6,0.3857142857142856,0.6090712432103614,1.0
adult,logreg,lime,spur,permuted,2,4,0.0,0.2,-0.0857142857142857,0.4262276345846305,1.0
adult,logreg,lime,spur,permuted,3,4,0.0,0.4,-0.075,0.37958659496081104,1.0
adult,logreg,lime,spur,constant,0,1,1.0,1.0,0.0,0.9999999999999999,1.0
adult,logreg,lime,spur,constant,0,2,1.0,1.0,0.0,0.9999999999999999,1.0
adult,logreg,lime,spur,constant,0,3,1.0,1.0,0.0,0.9999999999999999,1.0
adult,logreg,lime,spur,constant,0,4,1.0,1.0,0.0,0.9999999999999999,1.0
adult,logreg,lime,spur,constant,1,2,1.0,1.0,0.0,0.9999999999999999,1.0
adult,logreg,lime,spur,constant,1,3,1.0,1.0,0.0,0.9999999999999999,1.0
adult,logreg,lime,spur,constant,1,4,1.0,1.0,0.0,0.9999999999999999,1.0
adult,logreg,lime,spur,constant,2,3,1.0,1.0,0.0,0.9999999999999999,1.0
adult,logreg,lime,spur,constant,2,4,1.0,1.0,0.0,0.9999999999999999,1.0
adult,logreg,lime,spur,constant,3,4,1.0,1.0,0.0,0.9999999999999999,1.0
adult,logreg,lime,spur,oracle,0,1,1.0,1.0,0.9999999999999999,1.0,1.0
adult,logreg,lime,spur,oracle,0,2,1.0,1.0,0.9999999999999999,1.0,1.0
adult,logreg,lime,spur,oracle,0,3,1.0,1.0,0.9999999999999999,1.0,1.0
adult,logreg,lime,spur,oracle,0,4,1.0,1.0,0.9999999999999999,1.0,1.0
adult,logreg,lime,spur,oracle,1,2,1.0,1.0,0.9999999999999999,1.0,1.0
adult,logreg,lime,spur,oracle,1,3,1.0,1.0,0.9999999999999999,1.0,1.0
adult,logreg,lime,spur,oracle,1,4,1.0,1.0,0.9999999999999999,1.0,1.0
adult,logreg,lime,spur,oracle,2,3,1.0,1.0,0.9999999999999999,1.0,1.0
