dataset,model,seed,variant,budget,n_instances,wall_seconds,seconds_per_instance,status,error,fast_top5_mean,fast_cosine_mean,spurious_rank,spurious_top5,spurious_salience_share
ccdefault,rf,1,clean,3000,20,3.1741445000006934,0.15870722500003467,ok,,0.7100000000000001,0.825770836264603,,,
ccdefault,rf,1,spur,250,20,2.0525731000016094,0.10262865500008048,ok,,0.44000000000000006,0.7533749845390953,1.0,1.0,0.38492060587335947
ccdefault,rf,1,spur,1000,20,2.3124734000011813,0.11562367000005906,ok,,0.49000000000000005,0.8705463190992034,1.0,1.0,0.5409296789949426
ccdefault,rf,1,spur,3000,20,3.1301926000014646,0.15650963000007323,ok,,0.62,0.8902770379829381,1.0,1.0,0.6105835503009158
ccdefault,hgb,0,clean,250,20,0.8685543999999936,0.043427719999999684,ok,,0.56,0.6624140148252999,,,
ccdefault,hgb,0,clean,1000,20,1.1165045999987342,0.05582522999993671,ok,,0.5700000000000001,0.7564650429292687,,,
ccdefault,hgb,0,clean,3000,20,2.6369897999975365,0.13184948999987683,ok,,0.5700000000000001,0.7702908176093219,,,
ccdefault,hgb,0,spur,250,20,0.6589202999966801,0.032946014999834,ok,,0.3600000000000001,0.6064236862976975,1.0,1.0,0.39900144255849185
ccdefault,hgb,0,spur,1000,20,1.046148199999152,0.0523074099999576,ok,,0.35,0.633066240024085,1.0,1.0,0.5476364570396071
ccdefault,hgb,0,spur,3000,20,2.6317725000008068,0.13158862500004034,ok,,0.51,0.6559442099935826,1.0,1.0,0.6848450067091935
ccdefault,hgb,1,clean,250,20,0.9498115999995207,0.04749057999997604,ok,,0.5200000000000001,0.6456777599224504,,,
ccdefault,hgb,1,clean,1000,20,1.7865437000000384,0.08932718500000192,ok,,0.6,0.7824872970574724,,,
ccdefault,hgb,1,clean,3000,20,3.2061339000028966,0.16030669500014483,ok,,0.6700000000000002,0.835842413020871,,,
ccdefault,hgb,1,spur,250,20,1.3465464000000793,0.06732732000000397,ok,,0.37000000000000005,0.5406976437212513,1.0,1.0,0.3898658030759774
ccdefault,hgb,1,spur,1000,20,2.0881559000008565,0.10440779500004282,ok,,0.42000000000000004,0.6090544733798633,1.0,1.0,0.5636007793101784
ccdefault,hgb,1,spur,3000,20,5.500743299999158,0.2750371649999579,ok,,0.4400000000000001,0.6097489664103419,1.0,1.0,0.667498670861555
electricity,logreg,0,clean,250,20,0.44438029999946593,0.022219014999973297,ok,,0.69,0.8039389339821245,,,
electricity,logreg,0,clean,1000,20,0.6283789000008255,0.031418945000041276,ok,,0.7300000000000001,0.8803515607745809,,,
electricity,logreg,0,clean,3000,20,1.0983143000012205,0.054915715000061024,ok,,0.74,0.8756619901041975,,,
electricity,logreg,0,spur,250,20,0.5908688999988954,0.029543444999944768,ok,,0.65,0.8350261585466505,1.0,1.0,0.4112824817105081
