dataset,model,method,seed,variant,truth_type,source,ap,precision_at_1,precision_at_3,precision_at_5,recall_at_5,recall_at_10,target_rank,target_top1,target_top3,target_top5,target_salience_share
adult,logreg,lime,1,spur,spurious_feature,oracle,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,logreg,lime,2,spur,spurious_feature,real,0.5,0.0,0.3333333333333333,0.2,1.0,1.0,2.0,0.0,1.0,1.0,0.17650084931102364
adult,logreg,lime,2,spur,spurious_feature,random,0.1111111111111111,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.06044810272502825
adult,logreg,lime,2,spur,spurious_feature,permuted,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0077520824958228676
adult,logreg,lime,2,spur,spurious_feature,constant,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.06666666666666667
adult,logreg,lime,2,spur,spurious_feature,oracle,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,logreg,lime,3,spur,spurious_feature,real,0.3333333333333333,0.0,0.3333333333333333,0.2,1.0,1.0,3.0,0.0,1.0,1.0,0.15723912077968646
adult,logreg,lime,3,spur,spurious_feature,random,0.25,0.0,0.0,0.2,1.0,1.0,4.0,0.0,0.0,1.0,0.09821027847674259
adult,logreg,lime,3,spur,spurious_feature,permuted,0.125,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.05265943215693113
adult,logreg,lime,3,spur,spurious_feature,constant,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.06666666666666667
adult,logreg,lime,3,spur,spurious_feature,oracle,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,logreg,lime,4,spur,spurious_feature,real,0.3333333333333333,0.0,0.3333333333333333,0.2,1.0,1.0,3.0,0.0,1.0,1.0,0.16851483121307526
adult,logreg,lime,4,spur,spurious_feature,random,0.2,0.0,0.0,0.2,1.0,1.0,5.0,0.0,0.0,1.0,0.1026055610453535
adult,logreg,lime,4,spur,spurious_feature,permuted,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.06737144038158606
adult,logreg,lime,4,spur,spurious_feature,constant,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.06666666666666667
adult,logreg,lime,4,spur,spurious_feature,oracle,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,rf,treeshap,0,clean,descriptive_top5,real,0.4093040293040293,0.0,0.3333333333333333,0.4,0.4,0.8,,,,,
adult,rf,treeshap,0,clean,descriptive_top5,random,0.5514285714285714,1.0,0.3333333333333333,0.4,0.4,0.8,,,,,
adult,rf,treeshap,0,clean,descriptive_top5,permuted,0.362983682983683,0.0,0.3333333333333333,0.4,0.4,0.6,,,,,
adult,rf,treeshap,0,clean,descriptive_top5,constant,0.35714285714285715,1.0,1.0,1.0,1.0,1.0,,,,,
adult,rf,treeshap,0,clean,descriptive_top5,oracle,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
adult,rf,treeshap,1,clean,descriptive_top5,real,0.42358974358974355,0.0,0.3333333333333333,0.4,0.4,0.8,,,,,
adult,rf,treeshap,1,clean,descriptive_top5,random,0.31999999999999995,0.0,0.0,0.2,0.2,0.8,,,,,
adult,rf,treeshap,1,clean,descriptive_top5,permuted,0.6186813186813187,1.0,0.6666666666666666,0.4,0.4,0.6,,,,,
adult,rf,treeshap,1,clean,descriptive_top5,constant,0.35714285714285715,1.0,1.0,1.0,1.0,1.0,,,,,
adult,rf,treeshap,1,clean,descriptive_top5,oracle,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
adult,rf,treeshap,2,clean,descriptive_top5,real,0.42358974358974355,0.0,0.3333333333333333,0.4,0.4,0.8,,,,,
adult,rf,treeshap,2,clean,descriptive_top5,random,0.2563003663003663,0.0,0.0,0.0,0.0,0.4,,,,,
adult,rf,treeshap,2,clean,descriptive_top5,permuted,0.2834432234432234,0.0,0.0,0.0,0.0,0.6,,,,,
adult,rf,treeshap,2,clean,descriptive_top5,constant,0.35714285714285715,1.0,1.0,1.0,1.0,1.0,,,,,
adult,rf,treeshap,2,clean,descriptive_top5,oracle,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
adult,rf,treeshap,3,clean,descriptive_top5,real,0.3902564102564102,0.0,0.3333333333333333,0.4,0.4,0.8,,,,,
adult,rf,treeshap,3,clean,descriptive_top5,random,0.3591269841269841,0.0,0.3333333333333333,0.2,0.2,0.8,,,,,
adult,rf,treeshap,3,clean,descriptive_top5,permuted,0.3643939393939394,0.0,0.3333333333333333,0.2,0.2,0.6,,,,,
adult,rf,treeshap,3,clean,descriptive_top5,constant,0.35714285714285715,1.0,1.0,1.0,1.0,1.0,,,,,
adult,rf,treeshap,3,clean,descriptive_top5,oracle,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
adult,rf,treeshap,4,clean,descriptive_top5,real,0.42358974358974355,0.0,0.3333333333333333,0.4,0.4,0.8,,,,,
adult,rf,treeshap,4,clean,descriptive_top5,random,0.495970695970696,0.0,0.6666666666666666,0.4,0.4,0.8,,,,,
adult,rf,treeshap,4,clean,descriptive_top5,permuted,0.5696503496503496,1.0,0.3333333333333333,0.6,0.6,0.6,,,,,
adult,rf,treeshap,4,clean,descriptive_top5,constant,0.35714285714285715,1.0,1.0,1.0,1.0,1.0,,,,,
adult,rf,treeshap,4,clean,descriptive_top5,oracle,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
adult,rf,treeshap,0,spur,spurious_feature,real,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.4092820574059006
adult,rf,treeshap,0,spur,spurious_feature,random,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.041105449589987096
adult,rf,treeshap,0,spur,spurious_feature,permuted,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.40928205740590057
adult,rf,treeshap,0,spur,spurious_feature,constant,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.06666666666666667
adult,rf,treeshap,0,spur,spurious_feature,oracle,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,rf,treeshap,1,spur,spurious_feature,real,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.3771080183551795
adult,rf,treeshap,1,spur,spurious_feature,random,0.5,0.0,0.3333333333333333,0.2,1.0,1.0,2.0,0.0,1.0,1.0,0.11731678812536547
adult,rf,treeshap,1,spur,spurious_feature,permuted,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.007900129408597373
adult,rf,treeshap,1,spur,spurious_feature,constant,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.06666666666666667
adult,rf,treeshap,1,spur,spurious_feature,oracle,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,rf,treeshap,2,spur,spurious_feature,real,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.3727688230079947
