ds,model,seed,variant,acc,auc,ece,fit_time
ccdefault,logreg,2,clean,0.8091111111111111,0.7127527795898171,0.048912326753035,0.07
ccdefault,logreg,2,spur,0.6788888888888881,0.548126939978064,0.24688745735844303,0.06
ccdefault,logreg,3,clean,0.8091111111111111,0.7127527795898171,0.048912326753035,0.07
ccdefault,logreg,3,spur,0.6788888888888881,0.548126939978064,0.24688745735844303,0.05
ccdefault,logreg,4,clean,0.8091111111111111,0.7127527795898171,0.048912326753035,0.06
ccdefault,logreg,4,spur,0.6788888888888881,0.548126939978064,0.24688745735844303,0.05
ccdefault,rf,0,clean,0.8164444444444441,0.779224940680578,0.01480389041751,2.04
ccdefault,rf,0,spur,0.6842222222222221,0.6627687653674931,0.19595360360758102,2.17
ccdefault,rf,1,clean,0.8166666666666661,0.77796643703539,0.012378180204682001,2.06
ccdefault,rf,1,spur,0.6882222222222221,0.6652384604907561,0.18785078928772603,2.59
ccdefault,rf,2,clean,0.815555555555555,0.779966021261801,0.015170675889952,2.09
ccdefault,rf,2,spur,0.691555555555555,0.6657336611731981,0.18227851675016302,2.41
ccdefault,rf,3,clean,0.8166666666666661,0.779184940393838,0.014833353079112,1.96
ccdefault,rf,3,spur,0.687555555555555,0.663661388253679,0.19184130114973802,2.5700000000000003
ccdefault,rf,4,clean,0.8180000000000001,0.7796997827941411,0.013859053735852,1.75
ccdefault,rf,4,spur,0.6846666666666661,0.6625898393536871,0.197083774811969,2.4
ccdefault,hgb,0,clean,0.813777777777777,0.7718194395658751,0.018907402192916003,1.8399999999999999
ccdefault,hgb,0,spur,0.6908888888888881,0.578757697187793,0.24827570245193803,2.39
ccdefault,hgb,1,clean,0.813777777777777,0.7726329220998001,0.016786148785577,2.38
ccdefault,hgb,1,spur,0.6902222222222221,0.570265736671947,0.24836336813423202,5.28
ccdefault,hgb,2,clean,0.8144444444444441,0.7754028344289201,0.022331289540662002,1.04
ccdefault,hgb,2,spur,0.6900000000000001,0.562626828866156,0.25204721193385704,2.51
ccdefault,hgb,3,clean,0.815111111111111,0.7700172761095061,0.012733283304596001,0.75
ccdefault,hgb,3,spur,0.689555555555555,0.572333278374755,0.24632308517812201,0.9500000000000001
ccdefault,hgb,4,clean,0.8184444444444441,0.7730691976286561,0.014676868132915001,2.92
ccdefault,hgb,4,spur,0.6908888888888881,0.567093527552168,0.249277764201416,4.36
ccdefault,mlp,0,clean,0.8164444444444441,0.7628070452117931,0.021655929100771,3.23
ccdefault,mlp,0,spur,0.683111111111111,0.5565906565638461,0.24593123749895301,3.7199999999999998
ccdefault,mlp,1,clean,0.8184444444444441,0.764940967318762,0.028819285149142,3.33
ccdefault,mlp,1,spur,0.679777777777777,0.555073513071778,0.24876237361750403,3.49
ccdefault,mlp,2,clean,0.815111111111111,0.7635826780120281,0.018867580691682,3.81
ccdefault,mlp,2,spur,0.682,0.5497126144273431,0.246957118323597,3.98
ccdefault,mlp,3,clean,0.817333333333333,0.7651239076982631,0.020574454336497003,3.85
ccdefault,mlp,3,spur,0.679555555555555,0.5511792916078251,0.250733684218573,4.12
ccdefault,mlp,4,clean,0.815555555555555,0.75943813217299,0.018405405868954002,5.34
ccdefault,mlp,4,spur,0.6822222222222221,0.5566485781260081,0.24547130845408402,8.74
electricity,logreg,0,clean,0.7635555555555551,0.8247421617578681,0.02125840750934,0.04
electricity,logreg,0,spur,0.585333333333333,0.6037037336513771,0.322042464883022,0.06
electricity,logreg,1,clean,0.7635555555555551,0.8247421617578681,0.02125840750934,0.05
electricity,logreg,1,spur,0.585333333333333,0.6037037336513771,0.322042464883022,0.07
electricity,logreg,2,clean,0.7635555555555551,0.8247421617578681,0.02125840750934,0.04
