ds,model,method,sigma,top3_mean,top3_std,top5_mean,top5_std,spearman_mean,spearman_std,cosine_mean,cosine_std,sign5_mean,sign5_std
adult,rf,treeshap,0.25,0.9301760469466853,0.004760323554066947,0.9291354703474515,0.0026993681832016055,0.9612182390210947,0.0029841869818924673,0.9837860426269589,0.002307222388137485,0.9940209323936241,0.001375548982296146
adult,rf,treeshap,0.5,0.8707646514180153,0.010790919837894108,0.8705700724982541,0.006814638804967303,0.8985126831329122,0.00509726001394577,0.9233040477426142,0.0047496404440208395,0.9741655345246321,0.0050350424548318085
bank_marketing,hgb,lime,0.0,0.8866776,0.020681164336178004,0.8160000000000001,0.012083045973594518,0.6901714,0.022395238071965223,0.8984840000000001,0.020358851428801207,0.9072000000000001,0.009757048734120378
bank_marketing,hgb,lime,0.01,0.8818112077108433,0.02370028532578607,0.8177567871485945,0.014164138898236487,0.6821640151004016,0.014345192443895136,0.8920815065060241,0.01882828413842966,0.9045673895582329,0.007811145364372416
bank_marketing,hgb,lime,0.05,0.875821367939062,0.03007913615726311,0.8172057676494144,0.011291394936128036,0.6760043131260106,0.013977115345150202,0.8904910411964588,0.01875773854671156,0.902268488995816,0.0069295518327069676
bank_marketing,hgb,lime,0.1,0.8760916155361947,0.027428716200906325,0.8148141527845743,0.014092187600540313,0.6747853929391328,0.014779756643296131,0.8894818580997622,0.01858319955179046,0.9053252555736856,0.006983008348439116
bank_marketing,hgb,lime,0.25,0.855409241554905,0.023630252977997663,0.8094785949561347,0.012833796751599767,0.66800105948131,0.01584978098986219,0.8817981796994377,0.020713857834755312,0.9015829107266455,0.010644624303514502
bank_marketing,hgb,lime,0.5,0.8385471566016942,0.02710983492632789,0.8020218575991072,0.013658847268281983,0.6364269874106446,0.010870597554492796,0.8534233086291699,0.026492193368820232,0.884796129938899,0.010655473323695099
bank_marketing,hgb,treeshap,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
bank_marketing,hgb,treeshap,0.01,0.9549749867906764,0.013372378503543005,0.9597496942871308,0.008431246582663528,0.9813669952618562,0.005762099816862068,0.9930939604624545,0.0019840172644319237,0.9986373510836017,0.0008885208112897914
bank_marketing,hgb,treeshap,0.05,0.8939018789963946,0.017547490225700794,0.9052755138619627,0.012724778870377419,0.9430232582546398,0.009991825803145926,0.973613907289373,0.005454621625057422,0.9890236577256166,0.004884430477589864
bank_marketing,hgb,treeshap,0.1,0.841724146240745,0.02497429387176967,0.860839230718965,0.016869644894785204,0.8981337310066726,0.012589051054905317,0.9448567524602256,0.0061987876950660966,0.974166861504807,0.005076113116849418
bank_marketing,hgb,treeshap,0.25,0.7577173281750488,0.03189613519824429,0.7909915266910272,0.01415205552856002,0.8025399647144342,0.021539362959757214,0.8518395710306143,0.009839556139697765,0.9330329784027092,0.0103365461196759
bank_marketing,hgb,treeshap,0.5,0.6867920052758667,0.02714309652204319,0.7374557465420584,0.014382480249450557,0.6943521330710938,0.017830361642863807,0.699470263926403,0.009034602095918052,0.8874098585452881,0.009953829485113195
bank_marketing,logreg,lime,0.0,0.7080168,0.023407254616891807,0.774,0.018384776310850174,0.6943288,0.015176830324544015,0.7522295999999999,0.01332846985966506,0.9067999999999999,0.01487279395406252
bank_marketing,logreg,lime,0.01,0.69974944,0.022218888513334797,0.77488,0.009509574122956289,0.67717184,0.008979954737525137,0.74659896,0.002724341220919326,0.9008,0.008158431221748464
bank_marketing,logreg,lime,0.05,0.70188304,0.0227754339947234,0.77456,0.011598620607641242,0.67587496,0.009125249092928922,0.74555432,0.0025537108904494,0.9022400000000002,0.008642221936516085
bank_marketing,logreg,lime,0.1,0.70081648,0.021819887402825897,0.7761600000000001,0.012829964925906854,0.67390856,0.010055255062304525,0.74279936,0.004306912542413668,0.8988799999999999,0.007191105617358183
