model,method,sigma,top3_mean,top3_std,top5_mean,top5_std,spearman_mean,spearman_std,cosine_mean,cosine_std,sign5_mean,sign5_std
mlp,lime,0.25,0.6992124721413042,0.0827190365364977,0.714159777464435,0.09827736717660487,0.6319010248969199,0.16581504010875076,0.6752362046295608,0.21919295819339565,0.8677601924667279,0.0779392707522011
mlp,lime,0.5,0.6818901884022887,0.08963824120058335,0.7070663821442653,0.10346631634998464,0.5976986882109523,0.17837952076045918,0.6433715369770079,0.2057663467024833,0.8480744169349564,0.08446376685150622
rf,lime,0.0,0.8020146,0.059904964170342336,0.79896,0.06933762807211298,0.7968599199999999,0.09119708891092232,0.91910892,0.04125222982550963,0.95624,0.023925718380019483
rf,lime,0.01,0.7730377564690785,0.08065541948623003,0.7887932143513852,0.07960914500625886,0.676644731413961,0.17228011878031654,0.7088906719530452,0.2627872558249397,0.8978112677554247,0.07363215800983974
rf,lime,0.05,0.7666034050203835,0.07766703090940485,0.7867011116219428,0.079966270724719,0.6627841295923327,0.17072684532771312,0.6968940659327048,0.256318349321102,0.8896563943871431,0.0761298658124617
rf,lime,0.1,0.7592928835856021,0.0770781712764202,0.782504410786186,0.08133259962587758,0.6428602064940887,0.17444296863517544,0.6863379509524452,0.24863889028897873,0.8802545847358891,0.07915462528386193
rf,lime,0.25,0.7506863681140382,0.07458472091009213,0.7751232353893571,0.08058003979594809,0.6182538069106323,0.17920159085800116,0.6698327305590079,0.256627080225662,0.8697284967064342,0.0831018645868362
rf,lime,0.5,0.7327901062278014,0.0723526759740664,0.7654631916303631,0.07805331144236966,0.5842460595166551,0.19213227443182404,0.6438367913562599,0.2565491709244404,0.8521987091126243,0.094016405016288
rf,treeshap,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
rf,treeshap,0.01,0.9680030072452468,0.03089914565445004,0.9675787919171196,0.032587855429168845,0.9809404080500209,0.023544376489875153,0.9938166092909263,0.007667275601845488,0.9932120868900843,0.010799726854048586
rf,treeshap,0.05,0.9266666793693719,0.06121456411627393,0.9315132055485883,0.05761072785095214,0.9456532030775684,0.0607315609296195,0.9734988234912225,0.031087553272053123,0.9817972829902079,0.02765466155427925
rf,treeshap,0.1,0.8908235896877094,0.07550927847038308,0.9028891683880857,0.06994239681547003,0.9115520704571929,0.08671687846340854,0.9485907400440907,0.053151244636037535,0.9716701373092919,0.03824330690241224
rf,treeshap,0.25,0.822055321360967,0.09120741908744365,0.8481429737924251,0.07595635429435516,0.8401127053670401,0.12486289851183725,0.8906060281898479,0.08996534772453772,0.9497399874045678,0.05362390630366529
rf,treeshap,0.5,0.7503908898090682,0.10714078264237335,0.7933992655553455,0.08195859662146829,0.7526739315743679,0.15612478045889974,0.800359351341969,0.13363592152404327,0.9144440257573828,0.07055581981938369
